"","alpha","lambda","Model","Simulation_number"
"290",1,0.012648552168553,"LASSO",97
"291",0,0.120679264063933,"ELASTIC NET",97
"292",0,0.0910298177991522,"RIDGE",98
"293",1,0.00954095476349994,"LASSO",98
"294",0,0.0910298177991522,"ELASTIC NET",98
"295",0,0.120679264063933,"RIDGE",99
"296",1,0.00954095476349994,"LASSO",99
"297",0,0.120679264063933,"ELASTIC NET",99
"298",0,0.120679264063933,"RIDGE",100
"299",1,0.0167683293681101,"LASSO",100
"300",0,0.120679264063933,"ELASTIC NET",100
